llm1_success,llm2_success,llm3_success,econometrics_difficulty,readability_difficulty,negation_difficulty
0,0,0,4,69,0
0,1,1,1,24,0
0,0,0,7,9,0
0,0,0,3,84,0
0,0,0,5,99,0
0,0,1,5,36,0
0,0,0,7,62,1
0,0,0,1,90,1
1,1,1,3,46,1
0,0,1,2,69,0
0,0,0,7,16,0
0,0,0,7,60,1
0,0,0,2,71,1
0,0,0,7,3,0
0,1,0,3,8,1
0,1,1,2,89,0
0,0,0,7,23,1
0,0,0,7,85,0
0,0,0,6,49,0
0,0,0,1,62,0
0,0,0,3,79,1
0,0,1,5,27,0
0,1,0,2,96,1
0,0,0,6,20,1
0,0,1,7,69,0
0,0,0,4,90,1
1,1,1,2,19,0
0,0,0,4,95,0
0,0,0,6,16,0
0,0,0,6,49,1
0,0,0,1,60,1
0,0,0,6,14,0
0,1,0,1,97,1
0,1,1,3,54,1
1,0,0,2,100,0
0,0,0,5,44,1
0,1,0,2,32,0
0,0,0,7,22,1
0,1,0,2,7,1
1,0,1,6,48,0
0,0,0,6,21,1
1,0,0,1,20,1
0,0,0,6,81,1
0,0,0,6,65,1
0,1,1,1,35,0
0,0,1,6,31,0
0,0,0,4,42,1
0,0,1,5,25,0
0,1,0,1,19,1
0,0,0,4,77,0
0,0,0,4,29,0
0,0,1,7,15,1
0,0,0,7,19,1
0,0,0,3,82,0
0,0,0,7,61,0
0,0,0,6,98,1
1,0,0,2,27,1
1,0,0,1,54,0
1,0,1,4,18,1
0,0,0,2,69,1
0,0,0,7,54,0
0,0,0,5,75,0
0,1,0,4,42,1
0,0,0,2,32,1
0,0,0,2,80,1
0,0,0,6,44,0
0,0,0,3,72,1
0,1,1,1,83,1
0,0,0,4,73,1
0,0,0,4,86,0
0,0,0,5,68,0
0,0,0,6,96,0
0,0,1,5,67,0
0,0,0,1,58,1
0,1,0,6,28,1
0,0,0,4,75,1
0,1,0,1,32,1
1,0,0,5,43,0
0,1,0,4,93,0
0,1,0,3,53,1
0,0,0,6,92,0
0,0,0,6,18,0
0,0,0,7,71,0
0,0,0,7,1,0
0,0,0,1,88,1
0,0,0,7,2,0
0,0,0,7,1,1
0,0,0,1,63,1
0,0,0,3,54,0
0,0,0,5,71,0
0,0,0,5,38,0
0,0,0,3,37,0
0,0,0,3,64,1
0,1,0,1,52,1
0,0,0,1,95,1
0,0,0,6,87,1
0,0,0,1,48,1
0,0,1,3,38,0
0,0,0,2,90,1
1,0,0,4,17,1
0,0,0,5,13,1
0,0,0,6,51,0
0,0,0,7,92,0
0,0,1,7,21,0
0,0,0,3,19,1
0,0,0,3,67,1
0,0,0,3,96,0
0,0,1,5,74,1
1,0,1,3,52,0
0,0,0,7,79,1
0,0,1,6,20,0
0,1,1,1,12,0
0,0,0,3,40,1
0,0,0,6,87,1
0,0,0,6,87,0
0,0,1,5,28,0
0,1,0,2,69,0
0,0,0,4,9,1
0,1,0,6,64,0
0,0,0,3,65,1
0,1,0,1,72,1
0,0,1,5,60,1
0,0,1,2,50,0
0,0,0,7,66,0
0,0,0,6,55,0
0,0,0,4,98,0
0,0,0,1,82,1
0,0,1,2,55,0
1,0,0,2,85,0
1,0,1,1,33,0
0,0,0,3,94,0
0,1,0,3,90,1
0,0,0,5,96,1
0,0,0,6,37,1
0,0,0,1,81,1
0,0,0,2,53,0
0,0,0,4,90,0
0,1,0,2,66,1
0,0,0,5,62,0
0,0,0,7,51,0
0,0,0,6,78,0
0,0,1,3,82,0
0,1,0,5,85,0
0,0,0,3,92,0
0,0,0,5,91,0
0,0,0,2,74,0
1,1,0,4,43,0
0,0,1,4,21,0
1,1,1,2,52,0
0,0,0,2,41,0
0,0,0,6,1,1
0,0,0,7,63,1
0,0,0,1,96,1
0,0,0,6,55,0
0,0,1,1,13,1
0,0,0,7,26,1
0,0,0,4,92,0
0,0,0,7,79,1
0,0,1,5,6,0
1,0,1,1,13,0
0,0,0,5,33,1
1,1,1,1,1,0
0,0,0,2,76,1
0,0,0,3,45,1
0,1,1,1,42,0
0,0,0,6,41,0
1,1,1,1,13,0
0,0,0,1,20,0
0,0,1,2,41,0
0,1,1,3,19,1
1,0,0,5,35,0
0,1,0,3,13,1
0,1,0,4,91,0
0,0,0,6,21,1
0,0,0,2,36,0
0,1,0,7,61,1
0,0,0,7,88,0
0,0,0,1,85,1
0,0,0,5,33,0
0,0,0,7,90,0
0,0,0,6,76,0
0,0,0,3,80,1
0,0,0,7,72,0
1,0,0,2,42,1
0,0,0,6,28,0
0,1,1,2,13,1
0,1,0,6,1,0
1,0,1,2,3,1
0,1,0,5,90,0
1,0,0,1,66,1
0,0,0,1,24,1
0,0,1,6,31,0
0,0,0,7,72,1
0,0,0,4,93,1
0,0,1,7,26,0
0,0,1,6,43,0
0,0,0,4,47,1
1,0,1,3,16,1
0,0,1,7,24,1
0,0,0,4,39,1
0,0,1,5,3,1
0,0,0,2,93,0
0,0,1,3,36,0
0,0,0,3,87,1
0,0,0,7,84,0
0,0,0,1,72,1
0,0,1,2,81,0
0,0,1,7,18,0
1,0,0,7,48,0
0,0,0,7,62,0
0,1,0,2,57,0
0,0,0,7,63,0
0,0,0,2,43,1
0,0,0,5,81,1
0,0,0,2,94,1
1,0,1,2,60,0
0,0,1,1,69,1
0,0,0,7,50,1
0,1,1,5,9,0
0,0,1,1,42,0
0,1,1,1,9,0
0,0,0,5,24,1
0,1,1,4,62,0
0,0,1,3,40,0
0,0,0,7,94,0
1,1,0,1,67,0
0,0,0,5,81,1
0,0,1,3,8,1
0,1,0,1,42,0
0,0,1,2,6,0
1,0,1,3,15,1
0,0,0,3,88,0
0,0,0,1,67,1
0,1,0,3,49,1
0,1,0,6,69,1
0,0,0,7,40,1
0,0,0,2,50,0
0,1,0,2,64,0
0,0,0,2,97,1
0,0,0,3,86,0
0,0,0,6,81,1
0,1,0,2,23,1
0,0,0,1,80,0
0,0,0,4,5,0
0,0,0,6,39,0
0,1,1,5,12,0
0,1,0,3,71,1
0,1,1,1,50,1
0,1,0,7,17,0
0,1,0,1,14,1
0,1,0,2,88,0
0,0,0,6,3,0
1,1,0,3,39,1
1,0,0,1,46,0
0,0,0,4,62,0
0,0,0,3,95,0
0,1,1,2,15,1
0,0,0,3,17,1
0,0,0,5,53,1
0,0,0,7,30,1
0,0,0,4,77,1
0,0,0,5,66,1
0,0,0,7,55,1
1,0,1,6,7,1
0,0,0,3,89,1
0,0,0,5,87,1
0,1,0,4,48,1
0,1,0,1,60,0
1,0,0,6,61,1
1,0,0,1,90,0
0,0,0,6,59,1
0,0,1,3,4,0
0,0,1,7,12,0
0,1,0,5,54,0
0,0,0,7,36,1
0,0,1,3,27,0
0,0,1,3,3,1
0,0,0,4,9,0
1,0,0,4,25,1
0,0,0,6,76,0
0,1,0,1,58,1
0,0,0,1,79,1
0,1,0,2,56,1
0,0,0,5,34,1
0,0,0,7,58,0
0,0,0,7,83,1
0,0,0,1,49,1
0,0,0,7,92,0
0,0,0,4,78,0
0,0,0,2,82,0
0,0,0,7,64,0
0,0,0,6,28,1
0,0,0,3,8,1
0,0,0,1,51,1
0,0,0,6,89,1
0,1,0,1,40,0
0,0,0,6,70,0
0,0,0,2,76,0
0,0,0,3,86,1
0,0,1,7,29,0
0,0,1,6,61,0
0,0,0,6,74,0
0,0,0,1,68,1
0,1,0,1,3,1
0,0,1,3,76,1
0,1,0,4,77,1
0,0,1,7,27,0
0,1,1,3,4,0
0,0,0,7,95,1
0,0,0,6,40,1
0,0,0,7,42,1
0,0,0,1,90,1
0,0,0,4,96,1
0,1,0,2,44,0
0,0,0,3,72,0
0,0,0,7,84,1
0,0,1,5,87,1
0,0,0,6,10,1
1,1,0,1,61,1
0,0,0,3,44,0
0,1,0,3,15,1
0,0,0,7,80,1
0,0,0,5,95,1
0,1,1,2,7,0
0,1,0,7,40,1
0,0,0,3,76,0
1,1,1,1,60,0
0,0,0,2,58,0
0,0,0,3,54,1
0,0,0,6,28,0
0,0,0,6,51,1
0,0,0,5,67,1
0,0,0,2,16,1
1,0,0,4,62,1
0,0,0,5,42,0
0,0,0,4,28,1
0,0,0,2,53,1
0,0,0,7,77,0
0,0,0,7,33,0
0,0,0,3,70,1
0,0,1,3,56,0
0,1,0,1,13,0
0,0,0,2,97,0
0,0,0,6,96,0
0,1,0,2,63,0
0,0,0,6,65,0
0,0,0,6,36,0
0,1,1,2,20,0
0,0,1,3,32,0
0,1,0,2,66,1
0,1,0,7,13,0
0,0,0,6,74,1
1,1,1,2,5,0
0,0,0,7,37,0
0,0,0,4,94,0
0,0,1,3,20,0
0,0,0,7,90,1
0,0,0,6,23,1
0,1,0,1,7,0
0,1,1,5,30,1
0,0,0,4,89,0
0,1,0,5,70,0
0,1,0,3,3,0
0,0,0,6,57,1
0,0,0,5,97,0
0,0,0,2,44,0
0,1,0,1,63,1
0,1,0,7,81,0
0,1,0,3,38,0
1,1,0,1,90,1
0,0,0,2,50,0
0,0,0,6,15,0
0,1,1,2,57,0
0,1,0,3,43,1
0,1,0,2,11,1
0,0,0,1,85,1
0,1,0,2,40,1
0,0,0,6,71,0
0,0,0,4,80,1
0,0,0,5,75,0
0,0,0,7,10,0
0,0,0,6,53,1
0,0,1,6,62,0
0,1,0,7,62,1
0,0,0,2,87,0
0,0,1,5,85,0
0,0,0,4,50,1
0,0,1,7,31,0
0,0,1,4,4,0
0,0,0,5,10,1
0,0,0,2,16,0
0,0,0,7,87,1
0,1,0,6,87,0
0,1,0,1,75,1
0,0,0,4,74,1
0,0,0,5,85,1
0,0,0,7,58,0
0,0,0,7,36,1
0,0,0,7,41,0
0,0,0,2,61,1
0,1,0,1,74,0
0,0,0,2,92,1
0,0,0,7,65,0
0,0,1,4,89,0
0,0,0,7,27,0
0,0,0,2,44,1
0,0,1,3,67,0
0,0,0,4,72,0
0,0,0,6,28,1
0,0,0,6,7,0
0,0,0,5,71,0
0,0,0,2,77,0
1,0,0,1,83,1
0,0,0,5,22,1
0,1,0,1,33,0
0,1,0,4,58,1
0,0,1,3,4,0
0,1,0,2,69,1
0,0,0,2,44,0
0,0,0,4,22,1
0,0,0,7,27,1
1,0,0,3,52,1
0,0,1,1,87,0
0,1,0,4,55,1
0,0,1,5,24,1
0,0,0,3,96,1
0,0,0,5,44,0
0,0,0,1,92,1
0,1,0,1,92,1
0,0,0,2,93,0
0,0,1,5,95,0
0,0,0,1,65,1
0,0,0,2,100,1
0,0,1,2,25,1
0,1,0,3,17,1
0,1,1,4,12,0
0,0,0,4,98,0
0,0,1,4,31,0
1,0,0,1,36,1
0,0,0,7,64,1
0,0,0,7,6,0
1,1,1,2,60,0
0,1,0,4,54,0
0,0,0,7,73,1
0,1,0,1,3,0
0,0,0,2,54,1
0,0,0,1,72,1
0,0,0,7,92,1
0,0,0,7,91,1
0,0,0,6,43,0
0,0,0,7,7,1
0,0,1,2,25,0
0,0,0,5,39,0
0,0,1,6,12,0
0,0,0,6,94,0
0,0,0,5,65,1
0,0,0,7,71,0
0,0,0,6,38,0
0,0,0,6,3,1
0,1,1,4,2,0
0,0,0,5,14,1
0,0,0,1,77,1
0,0,0,4,82,0
0,0,0,6,75,1
0,0,0,5,71,0
0,0,0,1,35,1
0,0,0,3,85,0
0,0,0,3,98,1
0,0,0,5,23,0
0,1,0,5,61,0
0,1,0,2,25,1
0,1,1,2,63,0
0,0,0,5,89,1
0,1,0,4,95,0
0,0,1,5,59,1
0,1,0,4,43,0
0,0,1,1,14,1
0,0,0,6,49,0
1,1,0,1,96,0
0,0,0,6,3,1
0,0,0,5,36,1
1,1,0,5,49,0
0,0,0,4,62,1
0,1,0,6,13,1
0,0,0,4,43,0
0,0,0,2,60,0
1,0,1,3,44,0
0,1,0,5,43,0
0,1,0,6,60,1
0,0,0,7,59,1
0,0,0,6,60,1
0,0,0,6,7,0
0,0,0,7,67,1
0,0,0,2,89,0
0,0,0,2,25,1
0,0,0,7,74,0
0,0,0,7,6,1
0,0,0,3,87,1
0,1,0,7,23,1
0,0,0,6,52,1
0,0,0,3,38,1
0,0,0,2,62,0
1,0,0,2,100,1
0,0,0,4,58,0
0,0,0,3,22,1
0,0,0,5,65,1
0,0,0,6,5,0
0,0,0,5,86,0
0,0,0,7,11,1
0,0,0,5,31,1
0,1,0,2,21,0
0,1,1,4,47,1
0,0,0,3,59,1
1,0,0,7,78,1
0,0,0,7,98,1
0,1,0,7,89,1
0,0,0,5,81,0
0,0,0,5,58,1
1,0,0,3,35,0
0,0,0,3,78,1
0,0,1,3,13,0
0,1,1,4,57,0
0,1,1,2,37,0
0,0,0,5,88,1
0,0,0,3,73,0
0,1,0,5,64,0
0,0,0,6,63,0
0,1,0,3,5,0
0,0,0,3,71,0
0,0,0,3,91,1
0,0,0,5,53,1
0,1,0,1,75,0
0,0,0,4,14,0
0,0,1,2,33,0
0,0,0,5,50,1
0,0,0,6,2,1
0,1,1,3,14,0
0,0,1,2,5,1
1,1,0,1,72,0
0,1,0,5,35,0
1,0,0,2,45,0
0,0,0,7,24,0
1,0,0,2,86,1
0,0,0,2,48,0
0,0,0,6,84,0
0,0,1,2,18,0
0,0,0,2,90,1
0,1,1,4,36,0
0,1,0,2,96,0
0,0,0,7,36,0
0,0,0,6,40,1
0,0,1,4,56,1
0,0,0,2,96,1
0,0,0,2,65,1
0,0,1,6,49,1
0,1,1,6,21,0
0,0,0,5,28,0
1,1,0,2,47,0
0,0,0,5,35,1
0,0,0,2,91,1
1,1,0,1,13,0
1,0,0,6,3,1
0,0,0,6,85,1
0,0,0,5,98,1
0,0,0,5,73,1
0,0,1,2,22,0
0,0,1,5,79,0
0,0,0,5,59,1
0,1,0,4,100,1
0,0,0,7,14,1
0,0,0,6,71,1
0,0,0,1,90,0
0,0,0,7,89,0
0,0,0,6,28,1
0,1,0,3,23,0
0,1,0,4,1,0
1,1,0,1,22,0
0,0,0,5,48,1
1,1,1,2,6,0
0,0,0,4,22,0
0,1,0,4,72,0
0,1,1,2,19,1
0,0,1,7,31,0
0,0,0,3,27,0
0,0,0,7,98,0
0,0,0,1,55,1
0,0,0,5,62,0
0,0,1,2,35,0
0,1,0,7,16,0
0,0,1,3,46,0
0,0,0,2,60,0
0,0,0,5,64,1
0,1,0,4,65,1
0,0,0,3,89,0
0,0,0,6,95,1
0,1,1,2,56,0
0,0,0,3,85,0
0,0,0,2,89,1
0,0,0,6,26,0
0,0,1,5,17,0
0,0,0,7,89,0
0,0,0,3,48,0
0,0,0,4,70,1
0,0,1,2,2,0
0,1,0,2,12,0
0,1,1,1,16,0
0,0,1,6,22,1
0,0,0,5,87,0
0,0,0,1,75,1
0,0,0,3,30,1
0,1,0,2,18,1
0,0,1,2,67,0
0,0,0,5,40,0
1,1,0,1,32,0
1,0,0,4,100,0
0,0,0,6,45,0
0,1,0,4,64,1
0,0,0,7,11,0
0,0,0,6,69,1
0,0,0,7,36,1
0,0,0,3,60,0
0,0,0,5,14,1
0,0,0,6,88,1
0,0,0,5,95,0
1,0,0,1,33,0
0,0,0,4,79,0
0,0,0,2,100,0
0,0,0,6,82,0
0,0,0,5,98,1
0,0,0,5,26,0
0,0,0,4,55,1
0,0,0,3,75,0
0,1,1,1,40,1
0,1,0,3,30,0
0,0,0,5,91,1
0,0,0,4,7,1
0,0,0,5,13,1
0,0,1,1,13,0
0,0,0,4,32,1
0,0,0,1,59,1
0,1,1,2,66,1
0,0,0,6,20,0
0,1,0,5,89,1
0,0,0,7,28,0
0,0,0,1,72,1
0,0,0,2,27,1
0,1,0,3,18,1
0,0,0,6,68,0
0,0,0,3,69,1
0,0,0,6,27,1
0,0,1,1,18,1
1,0,0,4,72,0
0,0,0,6,42,0
0,1,0,1,13,1
0,0,0,6,30,1
0,0,0,2,63,1
0,0,1,6,41,0
0,0,1,1,7,1
0,0,0,7,24,0
0,0,0,7,94,1
0,0,1,7,88,0
1,1,0,2,50,1
0,0,0,5,16,1
0,1,1,3,2,0
0,0,0,4,38,0
1,0,0,4,95,1
0,0,1,2,64,0
0,0,0,6,2,0
0,0,0,5,83,1
0,0,0,7,100,0
0,0,0,2,15,1
0,0,0,5,12,1
0,0,0,7,3,0
0,0,0,4,67,1
0,0,0,5,65,1
0,1,0,3,66,0
0,0,0,5,15,1
0,0,0,7,74,0
0,0,1,5,86,0
0,0,0,1,81,0
1,1,0,1,62,0
0,0,0,2,54,1
0,0,0,7,34,1
0,0,0,5,13,1
0,0,1,3,25,0
1,1,0,1,36,1
0,0,0,5,28,0
0,0,1,5,14,1
1,0,0,2,23,1
0,0,0,4,88,1
0,0,0,5,85,0
0,1,0,1,29,1
0,1,0,2,43,0
0,0,0,5,7,1
0,0,0,3,89,1
0,1,0,6,67,1
0,0,0,6,6,0
0,0,0,7,29,0
0,0,0,2,90,0
0,0,0,3,44,1
0,0,0,7,27,1
0,0,0,6,52,0
0,1,1,6,3,0
0,0,0,1,60,0
0,1,0,1,48,0
0,0,0,2,55,1
0,0,0,6,68,1
0,0,0,5,17,1
0,0,0,4,83,1
0,0,0,7,78,1
0,0,0,1,49,1
1,1,0,1,39,0
0,0,1,1,88,1
0,0,0,7,2,1
0,0,1,3,78,0
0,0,0,4,93,1
0,1,0,1,48,0
1,0,0,4,34,1
0,0,0,4,83,1
0,0,1,5,41,0
0,0,1,5,15,1
0,0,0,6,15,1
0,0,0,5,47,1
0,0,0,7,55,1
0,0,0,6,64,1
0,1,0,6,34,1
0,0,0,3,82,1
0,0,0,4,86,0
0,0,0,3,15,1
0,0,1,5,24,0
0,0,0,3,19,1
0,0,0,5,86,1
0,0,0,3,13,1
0,0,0,3,37,1
0,0,0,5,44,0
0,0,0,1,88,0
0,1,0,1,56,0
0,1,1,1,65,0
1,1,0,1,31,0
1,1,0,1,2,1
0,0,1,4,99,1
0,0,0,7,57,1
0,0,0,4,27,0
0,0,0,5,51,1
0,0,0,2,89,0
0,0,0,7,41,1
0,0,0,5,52,1
0,0,0,5,16,0
0,0,0,6,39,1
0,0,0,7,80,0
0,0,0,6,61,0
0,0,0,6,96,1
0,0,0,2,21,1
0,1,0,1,67,0
0,0,1,4,33,1
0,0,0,4,78,1
0,0,0,6,29,0
0,0,0,7,62,0
0,0,1,5,12,0
0,0,1,6,18,0
0,0,1,4,64,1
0,0,0,3,75,0
0,0,1,3,28,0
0,1,0,3,56,0
0,0,0,6,10,0
0,1,0,3,71,1
1,0,0,3,63,1
0,0,1,5,13,1
0,1,0,2,50,1
0,1,0,4,77,0
0,0,0,6,80,1
0,1,0,1,37,1
0,0,0,4,57,1
0,0,1,6,13,0
0,0,0,7,52,0
1,1,0,1,68,1
0,0,0,1,77,0
0,0,0,5,72,0
0,0,0,7,88,0
0,0,1,2,52,0
0,1,1,1,15,1
0,1,0,3,32,0
0,0,0,4,17,1
0,0,1,3,1,0
0,0,0,6,49,1
0,0,1,1,61,0
1,0,0,3,49,1
0,0,0,2,88,0
0,0,1,2,47,0
0,0,0,3,99,0
0,0,0,6,42,1
0,1,0,5,14,0
0,0,1,2,53,1
0,1,1,2,23,0
0,0,0,5,93,0
0,0,0,7,67,0
0,1,1,3,15,0
0,0,0,7,8,1
0,1,0,3,52,1
0,0,0,7,32,0
0,0,0,4,84,1
0,0,1,7,5,0
0,0,0,4,14,0
0,0,0,7,54,0
0,0,0,6,27,1
0,0,0,1,90,1
0,1,0,6,100,1
0,0,0,5,30,1
0,0,0,4,46,1
1,0,0,2,28,0
0,0,0,6,69,1
0,1,0,4,42,0
0,0,0,3,85,0
0,0,0,7,93,1
0,0,0,7,33,0
0,0,0,4,15,0
1,0,1,3,39,0
0,1,0,2,73,0
0,0,0,6,31,0
0,0,0,3,91,1
0,1,1,1,54,0
0,1,0,6,24,0
0,0,0,6,60,0
0,1,0,5,81,1
0,0,0,3,60,1
0,0,0,4,59,1
0,0,0,7,58,1
0,0,0,4,39,0
0,0,0,3,2,1
0,0,0,2,12,1
0,0,0,7,66,1
0,0,0,6,76,1
0,0,1,5,2,1
0,0,0,3,31,0
1,0,0,4,40,0
0,0,0,7,23,1
0,0,0,7,76,1
1,0,0,1,62,1
1,0,1,1,66,1
0,0,1,7,18,0
0,1,1,5,6,0
0,0,0,6,90,1
0,0,0,3,65,0
0,0,0,6,93,1
0,0,1,3,75,0
0,0,1,6,59,0
0,0,0,7,96,1
1,1,0,1,30,1
0,0,0,7,53,0
0,0,0,1,23,0
0,0,0,7,7,1
